-------------------------------------------------------------------------------------
| pred                                                                  | frequency |
| <http://dbpedia.org/ontology/PopulatedPlace/areaTotal>                | 4         |
| <http://dbpedia.org/ontology/activeYearsEndDate>                      | 4         |
| <http://dbpedia.org/ontology/added>                                   | 4         |
| <http://dbpedia.org/ontology/address>                                 | 4         |
| <http://dbpedia.org/ontology/affiliation>                             | 4         |
| <http://dbpedia.org/ontology/areaTotal>                               | 4         |
| <http://dbpedia.org/ontology/citizenship>                             | 4         |
| <http://dbpedia.org/ontology/distributor>                             | 4         |
| <http://dbpedia.org/ontology/editing>                                 | 4         |
| <http://dbpedia.org/ontology/foundationPlace>                         | 4         |
| <http://dbpedia.org/ontology/league>                                  | 4         |
| <http://dbpedia.org/ontology/militaryCommand>                         | 4         |
| <http://dbpedia.org/ontology/motto>                                   | 4         |
| <http://dbpedia.org/ontology/nrhpReferenceNumber>                     | 4         |
| <http://dbpedia.org/ontology/number>                                  | 4         |
| <http://dbpedia.org/ontology/numberOfStudents>                        | 4         |
| <http://dbpedia.org/ontology/openingDate>                             | 4         |
| <http://dbpedia.org/ontology/personFunction>                          | 4         |
| <http://dbpedia.org/ontology/postalCode>                              | 4         |
| <http://dbpedia.org/ontology/profession>                              | 4         |
| <http://dbpedia.org/ontology/recordedIn>                              | 4         |
| <http://dbpedia.org/ontology/relation>                                | 4         |
| <http://dbpedia.org/ontology/series>                                  | 4         |
| <http://dbpedia.org/ontology/utcOffset>                               | 4         |
| <http://dbpedia.org/property/accessdate>                              | 4         |
| <http://dbpedia.org/property/affiliation>                             | 4         |
| <http://dbpedia.org/property/allegiance>                              | 4         |
| <http://dbpedia.org/property/b>                                       | 4         |
| <http://dbpedia.org/property/bgcolor>                                 | 4         |
| <http://dbpedia.org/property/bgcolour>                                | 4         |
| <http://dbpedia.org/property/color>                                   | 4         |
| <http://dbpedia.org/property/commands>                                | 4         |
| <http://dbpedia.org/property/family>                                  | 4         |
| <http://dbpedia.org/property/first>                                   | 4         |
| <http://dbpedia.org/property/fontsize>                                | 4         |
| <http://dbpedia.org/property/footer>                                  | 4         |
| <http://dbpedia.org/property/footnotes>                               | 4         |
| <http://dbpedia.org/property/foundation>                              | 4         |
| <http://dbpedia.org/property/founder>                                 | 4         |
| <http://dbpedia.org/property/grades>                                  | 4         |
| <http://dbpedia.org/property/heightFt>                                | 4         |
| <http://dbpedia.org/property/homepage>                                | 4         |
| <http://dbpedia.org/property/imageShield>                             | 4         |
| <http://dbpedia.org/property/international>                           | 4         |
| <http://dbpedia.org/property/keyPeople>                               | 4         |
| <http://dbpedia.org/property/lastAlbum>                               | 4         |
| <http://dbpedia.org/property/locationTown>                            | 4         |
| <http://dbpedia.org/property/mascot>                                  | 4         |
| <http://dbpedia.org/property/nextAlbum>                               | 4         |
| <http://dbpedia.org/property/notableworks>                            | 4         |
| <http://dbpedia.org/property/nrhpType>                                | 4         |
| <http://dbpedia.org/property/pnd>                                     | 4         |
| <http://dbpedia.org/property/principal>                               | 4         |
| <http://dbpedia.org/property/publisher>                               | 4         |
| <http://dbpedia.org/property/pushpinMapCaption>                       | 4         |
| <http://dbpedia.org/property/retired>                                 | 4         |
| <http://dbpedia.org/property/seatingCapacity>                         | 4         |
| <http://dbpedia.org/property/series>                                  | 4         |
| <http://dbpedia.org/property/species>                                 | 4         |
| <http://dbpedia.org/property/totalLength>                             | 4         |
| <http://dbpedia.org/property/utcOffset>                               | 4         |
| <http://dbpedia.org/property/web>                                     | 4         |
| <http://dbpedia.org/property/weight>                                  | 4         |
| <http://dbpedia.org/property/wikt>                                    | 4         |
| <http://graves.cl:5002/robots.txt>                                    | 4         |
| <http://lsq.aksw.org/res/q-09f941d7-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-2a92739e-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-418c46d8-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-84aad02e-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-88b4a0ce-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-88b4a0ce-var-p2>                           | 4         |
| <http://lsq.aksw.org/res/q-8f88625a-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-92fe8ddb-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-982c43c2-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-ad17624a-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-ad3c417b-var-p>                            | 4         |
| <http://lsq.aksw.org/res/q-dfb236e9-var-p>                            | 4         |
| <http://purl.org/dc/elements/1.1/title>                               | 4         |
| <http://purl.org/dc/terms/title>                                      | 4         |
| <http://dbpedia.org/ontology/PopulatedPlace/populationDensity>        | 3         |
| <http://dbpedia.org/ontology/allegiance>                              | 3         |
| <http://dbpedia.org/ontology/architecturalStyle>                      | 3         |
| <http://dbpedia.org/ontology/bnfId>                                   | 3         |
| <http://dbpedia.org/ontology/budget>                                  | 3         |
| <http://dbpedia.org/ontology/campus>                                  | 3         |
| <http://dbpedia.org/ontology/child>                                   | 3         |
| <http://dbpedia.org/ontology/cinematography>                          | 3         |
| <http://dbpedia.org/ontology/coach>                                   | 3         |
| <http://dbpedia.org/ontology/district>                                | 3         |
| <http://dbpedia.org/ontology/era>                                     | 3         |
| <http://dbpedia.org/ontology/facultySize>                             | 3         |
| <http://dbpedia.org/ontology/firstAppearance>                         | 3         |
| <http://dbpedia.org/ontology/format>                                  | 3         |
| <http://dbpedia.org/ontology/formerTeam>                              | 3         |
| <http://dbpedia.org/ontology/headquarter>                             | 3         |
| <http://dbpedia.org/ontology/inseeCode>                               | 3         |
| <http://dbpedia.org/ontology/locationCountry>                         | 3         |
| <http://dbpedia.org/ontology/longName>                                | 3         |
| <http://dbpedia.org/ontology/monarch>                                 | 3         |
| <http://dbpedia.org/ontology/musicComposer>                           | 3         |
| <http://dbpedia.org/ontology/notableWork>                             | 3         |
| <http://dbpedia.org/ontology/officialSchoolColour>                    | 3         |
| <http://dbpedia.org/ontology/operator>                                | 3         |
| <http://dbpedia.org/ontology/philosophicalSchool>                     | 3         |
| <http://dbpedia.org/ontology/populationDensity>                       | 3         |
| <http://dbpedia.org/ontology/president>                               | 3         |
| <http://dbpedia.org/ontology/region>                                  | 3         |
| <http://dbpedia.org/ontology/termPeriod>                              | 3         |
| <http://dbpedia.org/ontology/timeZone>                                | 3         |
| <http://dbpedia.org/ontology/yearOfConstruction>                      | 3         |
| <http://dbpedia.org/property/100s/50s>                                | 3         |
| <http://dbpedia.org/property/album>                                   | 3         |
| <http://dbpedia.org/property/area>                                    | 3         |
| <http://dbpedia.org/property/areaCode>                                | 3         |
| <http://dbpedia.org/property/author>                                  | 3         |
| <http://dbpedia.org/property/bSide>                                   | 3         |
| <http://dbpedia.org/property/batAvg>                                  | 3         |
| <http://dbpedia.org/property/batting>                                 | 3         |
| <http://dbpedia.org/property/bestBowling>                             | 3         |
| <http://dbpedia.org/property/bnf>                                     | 3         |
| <http://dbpedia.org/property/body>                                    | 3         |
| <http://dbpedia.org/property/bowlAvg>                                 | 3         |
| <http://dbpedia.org/property/bowling>                                 | 3         |
| <http://dbpedia.org/property/campus>                                  | 3         |
| <http://dbpedia.org/property/catches/stumpings>                       | 3         |
| <http://dbpedia.org/property/category>                                | 3         |
| <http://dbpedia.org/property/chairman>                                | 3         |
| <http://dbpedia.org/property/collapsed>                               | 3         |
| <http://dbpedia.org/property/column>                                  | 3         |
| <http://dbpedia.org/property/columns>                                 | 3         |
| <http://dbpedia.org/property/colwidth>                                | 3         |
| <http://dbpedia.org/property/commonName>                              | 3         |
| <http://dbpedia.org/property/composer>                                | 3         |
| <http://dbpedia.org/property/conference>                              | 3         |
| <http://dbpedia.org/property/conviction>                              | 3         |
| <http://dbpedia.org/property/convictionPenalty>                       | 3         |
| <http://dbpedia.org/property/convictionStatus>                        | 3         |
