--------------------------------------------------------------------
| pred                                                 | frequency |
| <http://lsq.aksw.org/res/q-9187bfa9-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-9187bfa9-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-93882583-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-93882583-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-9709fb5f-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-9709fb5f-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-97470a20-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-97a01747-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-97a01747-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-97b836cc-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-97b836cc-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-989ba610-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-9b54be8f-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-9b54be8f-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-9bf79de5-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-9bf79de5-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-9fd1bbfb-var-property>    | 1         |
| <http://lsq.aksw.org/res/q-a545b16c-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-a59905b4-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-a59905b4-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-a6337f64-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-a712f0e6-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-a7bed5e2-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-a7bed5e2-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-ab69a51b-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-ab69a51b-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-ae6ba0e4-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-ae6ba0e4-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-b57ceb05-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-b57ceb05-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-b8feb57e-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-b8feb57e-var-po>          | 1         |
